pics,type,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,welcome.started,text.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,questions.started,question1.started,slideranswer.started,question1.stopped,slideranswer.stopped,question2.started,textbox.started,questions.stopped,slideranswer.response,slideranswer.rt,textbox.text,instruction1.started,text_2.started,key_resp_2.started,instruction1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,experiment1.started,fixation1.started,image.started,buttontomorrow_1.started,buttoninayear_1.started,fixation1.stopped,experiment1.stopped,buttontomorrow_1.numClicks,buttontomorrow_1.timesOn,buttontomorrow_1.timesOff,buttoninayear_1.numClicks,buttoninayear_1.timesOn,buttoninayear_1.timesOff,instruction2.started,instruction.started,instruction.stopped,instruction2.stopped,experiment2.started,fixation_1.started,image_2.started,slider.started,fixation_1.stopped,experiment2.stopped,slider.response,slider.rt,instructions3.started,instruction_2.started,instructions3.stopped,experiment3.started,fixation_3.started,image_3.started,slider_2.started,fixation_3.stopped,experiment3.stopped,slider_2.response,slider_2.rt,thankyou.started,ThankYou.started,thankyou.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.00433070000144653,0.015237399988109246,0.015237399988109246,5.725310100009665,space,5.694023899995955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ri,001,2023-11-26_18h49.16.449,CLT,2023.2.3,59.88694542806558,2023-11-26 18h49.50.971704 +0530,
,,,,,,,,,,,,,,,,,,,,,,,5.725402499985648,5.898117600008845,5.898117600008845,20.900899300002493,20.900899300002493,21.741488800005754,21.741488800005754,31.7478654999868,None,None,"1
",31.747949100012193,31.75751249998575,31.75751249998575,44.81008080000174,space,13.003673300001537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ri,001,2023-11-26_18h49.16.449,CLT,2023.2.3,59.88694542806558,2023-11-26 18h49.50.971704 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set11(Mich)\mich-i.jpg,i,0,0,0,27,,,,,,,,,45.0704623000056,,,,,,,,,,,,,,,,,,,,,,,,,,,44.85019029999967,45.0704623000056,45.88621309999144,45.88621309999144,45.88621309999144,46.07950439999695,50.05367079999996,1,[4.24226619998808],[4.242294099996798],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ri,001,2023-11-26_18h49.16.449,CLT,2023.2.3,59.88694542806558,2023-11-26 18h49.50.971704 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set12(salvador)\salvador-i.jpg,i,0,1,1,30,,,,,,,,,50.440915299986955,,,,,,,,,,,,,,,,,,,,,,,,,,,50.05976110001211,50.440915299986955,51.086583500000415,51.086583500000415,51.086583500000415,51.47184630000265,54.64502399999765,1,[3.5848254000011366],[3.584857000008924],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ri,001,2023-11-26_18h49.16.449,CLT,2023.2.3,59.88694542806558,2023-11-26 18h49.50.971704 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 1 (Mark)\Mark-N.jpg,n,0,2,2,1,,,,,,,,,54.79480329999933,,,,,,,,,,,,,,,,,,,,,,,,,,,54.64828399999533,54.79480329999933,55.669722199992975,55.669722199992975,55.669722199992975,55.80790750001324,63.19683490000898,0,,,1,[7.556391399994027],[7.556412600009935],,,,,,,,,,,,,,,,,,,,,,,,,,,1ri,001,2023-11-26_18h49.16.449,CLT,2023.2.3,59.88694542806558,2023-11-26 18h49.50.971704 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set10(picasso)\picasso-n.jpg,n,0,3,3,25,,,,,,,,,63.238077199988766,,,,,,,,,,,,,,,,,,,,,,,,,,,63.198896899994,63.238077199988766,64.2119912999915,64.2119912999915,64.2119912999915,64.26361349999206,66.67397400000482,1,[2.485985700011952],[2.486004900012631],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ri,001,2023-11-26_18h49.16.449,CLT,2023.2.3,59.88694542806558,2023-11-26 18h49.50.971704 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set10(picasso)\picasso-r.jpg,r,0,4,4,26,,,,,,,,,66.7401508000039,,,,,,,,,,,,,,,,,,,,,,,,,,,66.67591689998517,66.7401508000039,67.69452759998967,67.69452759998967,67.69452759998967,67.76302230000147,69.04029189998982,1,[1.3692441000021063],[1.3692662000248674],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ri,001,2023-11-26_18h49.16.449,CLT,2023.2.3,59.88694542806558,2023-11-26 18h49.50.971704 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 6 (Clifford)\Clifford-N1.jpg,n,0,5,5,16,,,,,,,,,69.1280415999936,,,,,,,,,,,,,,,,,,,,,,,,,,,69.04273580000154,69.1280415999936,70.05591009999625,70.05591009999625,70.05591009999625,70.13744910000241,72.2058754999889,0,,,1,[2.17011310000089],[2.1701350000221282],,,,,,,,,,,,,,,,,,,,,,,,,,,1ri,001,2023-11-26_18h49.16.449,CLT,2023.2.3,59.88694542806558,2023-11-26 18h49.50.971704 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 2 (Mark)\Mark-I.jpg,i,0,6,6,4,,,,,,,,,72.23824410000816,,,,,,,,,,,,,,,,,,,,,,,,,,,72.20776960000512,72.23824410000816,73.22435850001057,73.22435850001057,73.22435850001057,73.2465755000012,76.4438933999918,1,[3.242057700001169],[3.242074899986619],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ri,001,2023-11-26_18h49.16.449,CLT,2023.2.3,59.88694542806558,2023-11-26 18h49.50.971704 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 1 (Mark)\Mark-I.jpg,i,0,7,7,0,,,,,,,,,76.48279790001106,,,,,,,,,,,,,,,,,,,,,,,,,,,76.4459130000032,76.48279790001106,77.45639050001046,77.45639050001046,77.45639050001046,77.49980930000311,84.40669999999227,0,,,1,[6.973455800005468],[6.973468100011814],,,,,,,,,,,,,,,,,,,,,,,,,,,1ri,001,2023-11-26_18h49.16.449,CLT,2023.2.3,59.88694542806558,2023-11-26 18h49.50.971704 +0530,
