pics,type,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,welcome.started,text.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,questions.started,question1.started,slideranswer.started,question1.stopped,slideranswer.stopped,question2.started,textbox.started,questions.stopped,slideranswer.response,slideranswer.rt,textbox.text,instruction1.started,text_2.started,key_resp_2.started,instruction1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,experiment1.started,fixation1.started,image.started,buttontomorrow_1.started,buttoninayear_1.started,fixation1.stopped,experiment1.stopped,buttontomorrow_1.numClicks,buttontomorrow_1.timesOn,buttontomorrow_1.timesOff,buttoninayear_1.numClicks,buttoninayear_1.timesOn,buttoninayear_1.timesOff,instruction2.started,instruction.started,instruction2.stopped,experiment2.started,fixation_1.started,image_2.started,slider.started,fixation_1.stopped,experiment2.stopped,slider.response,slider.rt,instructions3.started,instruction_2.started,instructions3.stopped,experiment3.started,fixation_3.started,image_3.started,slider_2.started,fixation_3.stopped,experiment3.stopped,slider_2.response,slider_2.rt,thankyou.started,ThankYou.started,ThankYou.stopped,thankyou.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.003861700010020286,0.014367399999173358,0.014367399999173358,14.462231200013775,space,14.44456169998739,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2j,001,2023-11-26_19h25.06.964,CLT,2023.2.3,60.00682877322635,2023-11-26 19h25.56.712735 +0530,
,,,,,,,,,,,,,,,,,,,,,,,14.46232270001201,14.666686900018249,14.666686900018249,29.67896380001912,29.67896380001912,30.480944300012197,30.480944300012197,40.48235740000382,None,None,,40.48242750001373,40.49173999999766,40.49173999999766,48.16759739999543,space,7.668019600008847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2j,001,2023-11-26_19h25.06.964,CLT,2023.2.3,60.00682877322635,2023-11-26 19h25.56.712735 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set12(salvador)\salvador-n.jpg,n,0,0,0,31,,,,,,,,,48.23663170001237,,,,,,,,,,,,,,,,,,,,,,,,,,,48.20562890000292,48.23663170001237,49.22339379999903,49.22339379999903,49.22339379999903,49.251156600017566,55.89489190001041,1,[6.727680500014685],[6.727701399999205],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2j,001,2023-11-26_19h25.06.964,CLT,2023.2.3,60.00682877322635,2023-11-26 19h25.56.712735 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 2 (Mark)\Mark-I.jpg,i,0,1,1,4,,,,,,,,,55.92817299999297,,,,,,,,,,,,,,,,,,,,,,,,,,,55.90999690000899,55.92817299999297,56.921873700019205,56.921873700019205,56.921873700019205,56.94562740001129,63.691758000000846,0,,,1,[6.793180000007851],[6.793222800013609],,,,,,,,,,,,,,,,,,,,,,,,,,,2j,001,2023-11-26_19h25.06.964,CLT,2023.2.3,60.00682877322635,2023-11-26 19h25.56.712735 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set10(picasso)\picasso-i.jpg,i,0,2,2,24,,,,,,,,,63.81257259999984,,,,,,,,,,,,,,,,,,,,,,,,,,,63.69528889999492,63.81257259999984,64.73913180001546,64.73913180001546,64.73913180001546,64.82852710000589,68.27873409999302,1,[3.584002399991732],[3.5840167999849655],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2j,001,2023-11-26_19h25.06.964,CLT,2023.2.3,60.00682877322635,2023-11-26 19h25.56.712735 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 3 (Piet)\Piet-N.jpg,n,0,3,3,8,,,,,,,,,68.3013546000002,,,,,,,,,,,,,,,,,,,,,,,,,,,68.280116000009,68.3013546000002,69.30250560000422,69.30250560000422,69.30250560000422,69.32889850001084,72.79432440001983,1,[3.516910899983486],[3.5169312999933027],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2j,001,2023-11-26_19h25.06.964,CLT,2023.2.3,60.00682877322635,2023-11-26 19h25.56.712735 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set9(Gosh)\gosh-r.jpg,r,0,4,4,23,,,,,,,,,72.82894530001795,,,,,,,,,,,,,,,,,,,,,,,,,,,72.79662150001968,72.82894530001795,73.81404620001558,73.81404620001558,73.81404620001558,73.83495010001934,81.61705420000362,0,,,1,[7.825089999998454],[7.825115599989658],,,,,,,,,,,,,,,,,,,,,,,,,,,2j,001,2023-11-26_19h25.06.964,CLT,2023.2.3,60.00682877322635,2023-11-26 19h25.56.712735 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set9(Gosh)\gosh-i.jpg,i,0,5,5,21,,,,,,,,,81.64584539999487,,,,,,,,,,,,,,,,,,,,,,,,,,,81.61960460001137,81.64584539999487,82.6301783999952,82.6301783999952,82.6301783999952,82.65097240000614,85.27639710000949,1,[2.669622299988987],[2.6696435999765527],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2j,001,2023-11-26_19h25.06.964,CLT,2023.2.3,60.00682877322635,2023-11-26 19h25.56.712735 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 5 (Clifford)\Clifford-I.jpg,i,0,6,6,14,,,,,,,,,85.48980080001638,,,,,,,,,,,,,,,,,,,,,,,,,,,85.27897899999516,85.48980080001638,86.29574600001797,86.29574600001797,86.29574600001797,86.4936770000204,91.53468010001234,1,[5.263038200006122],[5.2630594999936875],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2j,001,2023-11-26_19h25.06.964,CLT,2023.2.3,60.00682877322635,2023-11-26 19h25.56.712735 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set8(Gosh)\gosh-n.jpg,n,0,7,7,18,,,,,,,,,91.72345000001951,,,,,,,,,,,,,,,,,,,,,,,,,,,91.53675640001893,91.72345000001951,92.5628881000157,92.5628881000157,92.5628881000157,92.74980019999202,95.00413710001158,0,,,1,[2.4677931000187527],[2.4678179000038654],,,,,,,,,,,,,,,,,,,,,,,,,,,2j,001,2023-11-26_19h25.06.964,CLT,2023.2.3,60.00682877322635,2023-11-26 19h25.56.712735 +0530,
