pics,type,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,welcome.started,text.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,questions.started,question1.started,slideranswer.started,questions.stopped,slideranswer.response,slideranswer.rt,textbox.text,instruction1.started,text_2.started,key_resp_2.started,instruction1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,experiment1.started,fixation1.started,image.started,buttontomorrow_1.started,buttoninayear_1.started,fixation1.stopped,experiment1.stopped,buttontomorrow_1.numClicks,buttontomorrow_1.timesOn,buttontomorrow_1.timesOff,buttoninayear_1.numClicks,buttoninayear_1.timesOn,buttoninayear_1.timesOff,instruction2.started,instruction.started,instruction2.stopped,experiment2.started,fixation_1.started,image_2.started,slider.started,fixation_1.stopped,experiment2.stopped,slider.response,slider.rt,instructions3.started,instruction_2.started,instructions3.stopped,experiment3.started,fixation_3.started,image_3.started,slider_2.started,fixation_3.stopped,experiment3.stopped,slider_2.response,slider_2.rt,thankyou.started,ThankYou.started,thankyou.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.004072599986102432,0.01463829999556765,0.01463829999556765,4.246383999998216,space,4.225466899981257,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
,,,,,,,,,,,,,,,,,,,,,,,4.24652749998495,4.410218899982283,4.410218899982283,11.115182499983348,1.0083333333333333,6.792214599990984,,11.115266899985727,11.124244000006001,11.124244000006001,18.076364899985492,space,6.949186300014844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 2 (Mark)\Mark-I.jpg,i,0,0,0,4,,,,,,,,,18.151264499989338,,,,,,,,,,,,,,,,,,,,,,,18.11958619998768,18.151264499989338,19.137508099986007,19.137508099986007,19.137508099986007,19.15790989997913,23.32307869999204,1,[4.248566599999322],[4.248584300017683],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set11(Mich)\mich-r.jpg,r,0,1,1,29,,,,,,,,,23.398102899984224,,,,,,,,,,,,,,,,,,,,,,,23.33844570000656,23.398102899984224,24.35915129998466,24.35915129998466,24.35915129998466,24.404060600005323,26.140268099989044,1,[1.816855699988082],[1.816876400000183],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 1 (Mark)\Mark-R.jpg,r,0,2,2,2,,,,,,,,,26.18879719998222,,,,,,,,,,,,,,,,,,,,,,,26.1426145999867,26.18879719998222,27.168296699994244,27.168296699994244,27.168296699994244,27.21327849998488,30.621892499999376,0,,,1,[3.483131199987838],[3.4831558000005316],,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set8(Gosh)\gosh-i.jpg,i,0,3,3,20,,,,,,,,,31.06069579999894,,,,,,,,,,,,,,,,,,,,,,,30.624345699994592,31.06069579999894,31.657193999999436,31.657193999999436,31.657193999999436,32.08667049999349,34.448222399980295,0,,,1,[2.8275813999935053],[2.8276053000008687],,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set9(Gosh)\gosh-n.jpg,n,0,4,4,22,,,,,,,,,34.63819739999599,,,,,,,,,,,,,,,,,,,,,,,34.450689699995564,34.63819739999599,35.46247619998758,35.46247619998758,35.46247619998758,35.65579029999208,37.29199460000382,0,,,1,[1.8547826999856625],[1.8548051999823656],,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 3 (Piet)\Piet-N.jpg,n,0,5,5,8,,,,,,,,,37.33141529999557,,,,,,,,,,,,,,,,,,,,,,,37.294384899985744,37.33141529999557,38.31054669999867,38.31054669999867,38.31054669999867,38.36080399999628,41.10073019997799,0,,,1,[2.815158000012161],[2.815178899996681],,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set9(Gosh)\gosh-r.jpg,r,0,6,6,23,,,,,,,,,41.13066510000499,,,,,,,,,,,,,,,,,,,,,,,41.102817299979506,41.13066510000499,42.123588499991456,42.123588499991456,42.123588499991456,42.144386300002225,44.703353799995966,1,[2.602725200005807],[2.6027426999935415],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set9(Gosh)\gosh-i.jpg,i,0,7,7,21,,,,,,,,,44.71599949998199,,,,,,,,,,,,,,,,,,,,,,,44.70470959998784,44.71599949998199,45.72591769997962,45.72591769997962,45.72591769997962,45.74760740000056,48.47226939999382,1,[2.772389599995222],[2.7724123999942094],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 5 (Clifford)\Clifford-I.jpg,i,0,8,8,14,,,,,,,,,48.61789910000516,,,,,,,,,,,,,,,,,,,,,,,48.47467759999563,48.61789910000516,49.49103020000621,49.49103020000621,49.49103020000621,49.63206989999162,52.999511100002564,1,[3.5337753999920096],[3.5337963000056334],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set8(Gosh)\gosh-n.jpg,n,0,9,9,18,,,,,,,,,53.144615600002,,,,,,,,,,,,,,,,,,,,,,,53.001823800004786,53.144615600002,54.02561579999747,54.02561579999747,54.02561579999747,54.16992479999317,55.8024489999807,0,,,1,[1.8049454000138212],[1.8049736999964807],,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 3 (Piet)\Piet-I.jpg,i,0,10,10,7,,,,,,,,,55.850672999979,,,,,,,,,,,,,,,,,,,,,,,55.805189099977724,55.850672999979,56.83185359998606,56.83185359998606,56.83185359998606,56.893196699995315,58.96675140000298,1,[2.170017700002063],[2.1700391999911517],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set11(Mich)\mich-n.jpg,n,0,11,11,28,,,,,,,,,59.102646699990146,,,,,,,,,,,,,,,,,,,,,,,58.969042499986244,59.102646699990146,59.990789999981644,59.990789999981644,59.990789999981644,60.11173669999698,62.382374999986496,1,[2.4199039000086486],[2.419933500001207],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 5 (Clifford)\Clifford-R.jpg,r,0,12,12,12,,,,,,,,,62.58993550000014,,,,,,,,,,,,,,,,,,,,,,,62.38483249998535,62.58993550000014,63.40429310000036,63.40429310000036,63.40429310000036,63.60816849998082,64.99396219998016,1,[1.6157333000155631],[1.6157583000021987],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 6 (Clifford)\Clifford-R.jpg,r,0,13,13,17,,,,,,,,,65.02394789998652,,,,,,,,,,,,,,,,,,,,,,,64.99646279998706,65.02394789998652,66.03500559998793,66.03500559998793,66.03500559998793,66.07172909998917,68.91328819998307,1,[2.9194324999989476],[2.919453499984229],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set12(salvador)\salvador-n.jpg,n,0,14,14,31,,,,,,,,,68.94254200000432,,,,,,,,,,,,,,,,,,,,,,,68.91561319999164,68.94254200000432,69.93379919999279,69.93379919999279,69.93379919999279,69.96343579998938,72.86862090000068,1,[2.959715100005269],[2.959734300005948],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 4 (Piet)\Piet-R.jpg,r,0,15,15,10,,,,,,,,,72.91496729999199,,,,,,,,,,,,,,,,,,,,,,,72.87085619999561,72.91496729999199,73.88144830000238,73.88144830000238,73.88144830000238,73.92580880000605,76.02833619999001,0,,,1,[2.1705389999842737],[2.1705912000034004],,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set10(picasso)\picasso-n.jpg,n,0,16,16,25,,,,,,,,,76.07817019999493,,,,,,,,,,,,,,,,,,,,,,,76.03157170000486,76.07817019999493,77.04918040000484,77.04918040000484,77.04918040000484,77.11175529999309,80.57030479999958,0,,,1,[3.5469439000007696],[3.546971100004157],,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 2 (Mark)\Mark-R.jpg,r,0,17,17,5,,,,,,,,,80.63640019999002,,,,,,,,,,,,,,,,,,,,,,,80.5737294999999,80.63640019999002,81.5977423999866,81.5977423999866,81.5977423999866,81.64379780000309,83.28778809998767,1,[1.7154598999768496],[1.7154812999942806],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 4 (Piet)\Piet-I.jpg,i,0,18,18,11,,,,,,,,,83.34050629998092,,,,,,,,,,,,,,,,,,,,,,,83.29011839997838,83.34050629998092,84.31134210000164,84.31134210000164,84.31134210000164,84.35605279999436,85.50376530000358,1,[1.2154742000275292],[1.215496200020425],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 1 (Mark)\Mark-N.jpg,n,0,19,19,1,,,,,,,,,85.54957909998484,,,,,,,,,,,,,,,,,,,,,,,85.50743259998853,85.54957909998484,86.53944739999133,86.53944739999133,86.53944739999133,86.57060419998015,88.06466469998122,0,,,1,[1.5608379000041168],[1.5608612000069115],,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 2 (Mark)\Mark-N.jpg,n,0,20,20,3,,,,,,,,,88.10234739998123,,,,,,,,,,,,,,,,,,,,,,,88.06708749997779,88.10234739998123,89.07630570000038,89.07630570000038,89.07630570000038,89.1202176999941,90.26952849997906,0,,,1,[1.2166746000002604],[1.2166975000000093],,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 5 (Clifford)\Clifford-N.jpg,n,0,21,21,13,,,,,,,,,90.46148139997968,,,,,,,,,,,,,,,,,,,,,,,90.27191449998645,90.46148139997968,91.29414689997793,91.29414689997793,91.29414689997793,91.469981799979,92.41289499998675,0,,,1,[1.1439264999935403],[1.1439538999984507],,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set11(Mich)\mich-i.jpg,i,0,22,22,27,,,,,,,,,92.5527882000024,,,,,,,,,,,,,,,,,,,,,,,92.41597020000336,92.5527882000024,93.4285433999903,93.4285433999903,93.4285433999903,93.5700045999838,95.85187929999665,1,[2.44895349998842],[2.4489783000026364],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set8(Gosh)\gosh-r.jpg,r,0,23,23,19,,,,,,,,,97.23832149998634,,,,,,,,,,,,,,,,,,,,,,,95.85465209998074,97.23832149998634,97.23832149998634,97.23832149998634,97.23832149998634,,97.44668419999653,1,[0.26465290001942776],[0.2646744000085164],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 1 (Mark)\Mark-I.jpg,i,0,24,24,0,,,,,,,,,97.49660569999833,,,,,,,,,,,,,,,,,,,,,,,97.44906449998962,97.49660569999833,98.46490950000589,98.46490950000589,98.46490950000589,98.49806610000087,101.53607780000311,0,,,1,[3.087022399995476],[3.08704910002416],,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 6 (Clifford)\Clifford-N1.jpg,n,0,25,25,16,,,,,,,,,101.60830059999716,,,,,,,,,,,,,,,,,,,,,,,101.53875619999599,101.60830059999716,102.55761429999257,102.55761429999257,102.55761429999257,102.63531069998862,103.60070640000049,0,,,1,[1.0685731999983545],[1.0685996999964118],,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set10(picasso)\picasso-i.jpg,i,0,26,26,24,,,,,,,,,103.68713740000385,,,,,,,,,,,,,,,,,,,,,,,103.60342420000234,103.68713740000385,104.61333619998186,104.61333619998186,104.61333619998186,104.70607749998453,107.28474269999424,0,,,1,[2.6873242000001483],[2.6873476000037044],,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 6 (Clifford)\Clifford-I1.jpg,i,0,27,27,15,,,,,,,,,107.32334959998843,,,,,,,,,,,,,,,,,,,,,,,107.2869764000061,107.32334959998843,108.30557060000137,108.30557060000137,108.30557060000137,108.3526431999926,110.8335804999806,1,[2.552925800002413],[2.552952700003516],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3ra,001,2023-11-26_20h02.31.796,CLT,2023.2.3,59.988902048927415,2023-11-26 20h02.59.736758 +0530,
