pics,type,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,welcome.started,text.started,key_resp.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.duration,questions.started,question1.started,slideranswer.started,question1.stopped,slideranswer.stopped,question2.started,textbox.started,question2.stopped,textbox.stopped,questions.stopped,slideranswer.response,slideranswer.rt,textbox.text,instruction1.started,text_2.started,key_resp_2.started,instruction1.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,experiment1.started,fixation1.started,image.started,buttontomorrow_1.started,buttoninayear_1.started,fixation1.stopped,experiment1.stopped,buttontomorrow_1.numClicks,buttontomorrow_1.timesOn,buttontomorrow_1.timesOff,buttoninayear_1.numClicks,buttoninayear_1.timesOn,buttoninayear_1.timesOff,instruction2.started,instruction.started,instruction2.stopped,experiment2.started,fixation_1.started,image_2.started,slider.started,fixation_1.stopped,experiment2.stopped,slider.response,slider.rt,instructions3.started,instruction_2.started,instructions3.stopped,experiment3.started,fixation_3.started,image_3.started,slider_2.started,fixation_3.stopped,experiment3.stopped,slider_2.response,slider_2.rt,thankyou.started,ThankYou.started,thankyou.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0036496000248007476,0.014139500010060146,0.014139500010060146,5.071875800000271,space,5.054609700018773,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4j,001,2023-11-26_23h25.34.173,CLT,2023.2.3,59.985483514185546,2023-11-26 23h26.50.926360 +0530,
,,,,,,,,,,,,,,,,,,,,,,,5.071948199998587,5.137292100000195,5.137292100000195,20.14055969999754,20.14055969999754,21.081121900002472,21.081121900002472,31.087709800020093,31.087709800020093,31.077706600015517,None,None,1,31.077746200026013,31.087709800020093,31.087709800020093,38.98593670001719,space,7.888336799980607,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4j,001,2023-11-26_23h25.34.173,CLT,2023.2.3,59.985483514185546,2023-11-26 23h26.50.926360 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 4 (Piet)\Piet-N.jpg,n,0,0,0,9,,,,,,,,,39.02996230000281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00682850001613,39.02996230000281,40.04302870001993,40.04302870001993,40.04302870001993,40.053003000008175,47.418312399997376,0,,,1,[7.432270499994047],[7.432278599997517],,,,,,,,,,,,,,,,,,,,,,,,,,4j,001,2023-11-26_23h25.34.173,CLT,2023.2.3,59.985483514185546,2023-11-26 23h26.50.926360 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set9(Gosh)\gosh-i.jpg,i,0,1,1,21,,,,,,,,,47.44029660001979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.43003590000444,47.44029660001979,48.43302710002172,48.43302710002172,48.43302710002172,48.449307900009444,53.767294400022365,1,[5.351173700008076],[5.351179299992509],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4j,001,2023-11-26_23h25.34.173,CLT,2023.2.3,59.985483514185546,2023-11-26 23h26.50.926360 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 4 (Piet)\Piet-R.jpg,r,0,2,2,10,,,,,,,,,53.78941779999877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7678635000193,53.78941779999877,54.780763200018555,54.780763200018555,54.780763200018555,54.79740480001783,59.48118390000309,1,[4.717073999985587],[4.717082799994387],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4j,001,2023-11-26_23h25.34.173,CLT,2023.2.3,59.985483514185546,2023-11-26 23h26.50.926360 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set12(salvador)\salvador-r.jpg,r,0,3,3,32,,,,,,,,,59.51644860001397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.481968600011896,59.51644860001397,60.49571129999822,60.49571129999822,60.49571129999822,60.5289613000059,67.42945960001089,0,,,1,[6.949941099999705],[6.9499516999931075],,,,,,,,,,,,,,,,,,,,,,,,,,4j,001,2023-11-26_23h25.34.173,CLT,2023.2.3,59.985483514185546,2023-11-26 23h26.50.926360 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 2 (Mark)\Mark-R.jpg,r,0,4,4,5,,,,,,,,,67.46309699999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.43049590001465,67.46309699999983,68.44626170000993,68.44626170000993,68.44626170000993,68.45937520000734,75.01011329999892,1,[6.583192800026154],[6.583203600021079],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4j,001,2023-11-26_23h25.34.173,CLT,2023.2.3,59.985483514185546,2023-11-26 23h26.50.926360 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 2 (Mark)\Mark-I.jpg,i,0,5,5,4,,,,,,,,,75.03238129999954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.01103190000867,75.03238129999954,76.02857670001686,76.02857670001686,76.02857670001686,76.04064660001313,81.10783069999889,1,[5.099663500004681],[5.099673699995037],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4j,001,2023-11-26_23h25.34.173,CLT,2023.2.3,59.985483514185546,2023-11-26 23h26.50.926360 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set 1 (Mark)\Mark-N.jpg,n,0,6,6,1,,,,,,,,,81.1322648000205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.10871980001684,81.1322648000205,82.12213699999847,82.12213699999847,82.12213699999847,82.13875150002423,84.44003310002154,0,,,1,[2.334530599997379],[2.33453880000161],,,,,,,,,,,,,,,,,,,,,,,,,,4j,001,2023-11-26_23h25.34.173,CLT,2023.2.3,59.985483514185546,2023-11-26 23h26.50.926360 +0530,
C:\Users\Vinisha\Desktop\Lab in psychology\final assigment\Set11(Mich)\mich-n.jpg,n,0,7,7,28,,,,,,,,,84.4991149000125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.44075670000166,84.4991149000125,85.45539370001643,85.45539370001643,85.45539370001643,85.5042386999994,88.15563730002032,1,[2.71768339999835],[2.717690199991921],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4j,001,2023-11-26_23h25.34.173,CLT,2023.2.3,59.985483514185546,2023-11-26 23h26.50.926360 +0530,
